CM,tau
0.03,0.03
0.0301,0.0301
0.0302,0.0302
0.0303,0.0303
0.0304,0.0304
0.0305,0.0305
0.0306,0.0306
0.0307,0.0307
0.0308,0.0308
0.0309,0.0309
0.031,0.031
0.0311,0.0311
0.0312,0.0312
0.0313,0.0313
0.0314,0.0314
0.0315,0.0315
0.0316,0.0316
0.0317,0.0317
0.0318,0.0318
0.0319,0.0319
0.032,0.032
0.0321,0.0321
0.0322,0.0322
0.0323,0.0323
0.0324,0.0324
0.0325,0.0325
0.0326,0.0326
0.0327,0.0327
0.0328,0.0328
0.0329,0.0329
0.033,0.033
0.0331,0.0331
0.0332,0.0332
0.0333,0.0333
0.0334,0.0334
0.0335,0.0335
0.0336,0.0336
0.0337,0.0337
0.0338,0.0338
0.0339,0.0339
0.034,0.034
0.0341,0.0341
0.0342,0.0342
0.0343,0.0343
0.0344,0.0344
0.0345,0.0345
0.0346,0.0346
0.0347,0.0347
0.0348,0.0348
0.0349,0.0349
0.035,0.035
0.0351,0.0351
0.0352,0.0352
0.0353,0.0353
0.0354,0.0354
0.0355,0.0355
0.0356,0.0356
0.0357,0.0357
0.0358,0.0358
0.0359,0.0359
0.036,0.036
0.0361,0.0361
0.0362,0.0362
0.0363,0.0363
0.0364,0.0364
0.0365,0.0365
0.0366,0.0366
0.0367,0.0367
0.0368,0.0368
0.0369,0.0369
0.037,0.037
0.0371,0.0371
0.0372,0.0372
0.0373,0.0373
0.0374,0.0374
0.0375,0.0375
0.0376,0.0376
0.0377,0.0377
0.0378,0.0378
0.0379,0.0379
0.038,0.038
0.0381,0.0381
0.0382,0.0382
0.0383,0.0383
0.0384,0.0384
0.0385,0.0385
0.0386,0.0386
0.0387,0.0387
0.0388,0.0388
0.0389,0.0389
0.039,0.039
0.0391,0.0391
0.0392,0.0392
0.0393,0.0393
0.0394,0.0394
0.0395,0.0395
0.0396,0.0396
0.0397,0.0397
0.0398,0.0398
0.0399,0.0399
0.04,0.04
0.0401,0.0401
0.0402,0.0402
0.0403,0.0403
0.0404,0.0404
0.0405,0.0405
0.0406,0.0406
0.0407,0.0407
0.0408,0.0408
0.0409,0.0409
0.041,0.041
0.0411,0.0411
0.0412,0.0412
0.0413,0.0413
0.0414,0.0414
0.0415,0.0415
0.0416,0.0416
0.0417,0.0417
0.0418,0.0418
0.0419,0.0419
0.042,0.042
0.0421,0.0421
0.0422,0.0422
0.0423,0.0423
0.0424,0.0424
0.0425,0.0425
0.0426,0.0426
0.0427,0.0427
0.0428,0.0428
0.0429,0.0429
0.043,0.043
0.0431,0.0431
0.0432,0.0432
0.0433,0.0433
0.0434,0.0434
0.0435,0.0435
0.0436,0.0436
0.0437,0.0437
0.0438,0.0438
0.0439,0.0439
0.044,0.044
0.0441,0.0441
0.0442,0.0442
0.0443,0.0443
0.0444,0.0444
0.0445,0.0445
0.0446,0.0446
0.0447,0.0447
0.0448,0.0448
0.0449,0.0449
0.045,0.045
0.0451,0.0451
0.0452,0.0452
0.0453,0.0453
0.0454,0.0454
0.0455,0.0455
0.0456,0.0456
0.0457,0.0457
0.0458,0.0458
0.0459,0.0459
0.046,0.046
0.0461,0.0461
0.0462,0.0462
0.0463,0.0463
0.0464,0.0464
0.0465,0.0465
0.0466,0.0466
0.0467,0.046700001
0.0468,0.046800001
0.0469,0.046900001
0.047,0.047000001
0.0471,0.047100001
0.0472,0.047200001
0.0473,0.047300001
0.0474,0.047400001
0.0475,0.047500001
0.0476,0.047600001
0.0477,0.047700001
0.0478,0.047800001
0.0479,0.047900001
0.048,0.048000001
0.0481,0.048100001
0.0482,0.048200001
0.0483,0.048300001
0.0484,0.048400001
0.0485,0.048500001
0.0486,0.048600001
0.0487,0.048700001
0.0488,0.048800001
0.0489,0.048900001
0.049,0.049000001
0.0491,0.049100001
0.0492,0.049200001
0.0493,0.049300002
0.0494,0.049400002
0.0495,0.049500002
0.0496,0.049600002
0.0497,0.049700002
0.0498,0.049800002
0.0499,0.049900002
0.05,0.050000002
0.0501,0.050100002
0.0502,0.050200002
0.0503,0.050300002
0.0504,0.050400002
0.0505,0.050500003
0.0506,0.050600003
0.0507,0.050700003
0.0508,0.050800003
0.0509,0.050900003
0.051,0.051000003
0.0511,0.051100003
0.0512,0.051200003
0.0513,0.051300003
0.0514,0.051400004
0.0515,0.051500004
0.0516,0.051600004
0.0517,0.051700004
0.0518,0.051800004
0.0519,0.051900004
0.052,0.052000004
0.0521,0.052100005
0.0522,0.052200005
0.0523,0.052300005
0.0524,0.052400005
0.0525,0.052500005
0.0526,0.052600006
0.0527,0.052700006
0.0528,0.052800006
0.0529,0.052900006
0.053,0.053000006
0.0531,0.053100007
0.0532,0.053200007
0.0533,0.053300007
0.0534,0.053400007
0.0535,0.053500008
0.0536,0.053600008
0.0537,0.053700008
0.0538,0.053800008
0.0539,0.053900009
0.054,0.054000009
0.0541,0.054100009
0.0542,0.05420001
0.0543,0.05430001
0.0544,0.05440001
0.0545,0.054500011
0.0546,0.054600011
0.0547,0.054700011
0.0548,0.054800012
0.0549,0.054900012
0.055,0.055000013
0.0551,0.055100013
0.0552,0.055200014
0.0553,0.055300014
0.0554,0.055400014
0.0555,0.055500015
0.0556,0.055600015
0.0557,0.055700016
0.0558,0.055800016
0.0559,0.055900017
0.056,0.056000018
0.0561,0.056100018
0.0562,0.056200019
0.0563,0.056300019
0.0564,0.05640002
0.0565,0.056500021
0.0566,0.056600021
0.0567,0.056700022
0.0568,0.056800023
0.0569,0.056900023
0.057,0.057000024
0.0571,0.057100025
0.0572,0.057200026
0.0573,0.057300026
0.0574,0.057400027
0.0575,0.057500028
0.0576,0.057600029
0.0577,0.05770003
0.0578,0.057800031
0.0579,0.057900032
0.058,0.058000033
0.0581,0.058100034
0.0582,0.058200035
0.0583,0.058300036
0.0584,0.058400037
0.0585,0.058500038
0.0586,0.058600039
0.0587,0.05870004
0.0588,0.058800041
0.0589,0.058900042
0.059,0.059000044
0.0591,0.059100045
0.0592,0.059200046
0.0593,0.059300047
0.0594,0.059400049
0.0595,0.05950005
0.0596,0.059600052
0.0597,0.059700053
0.0598,0.059800055
0.0599,0.059900056
0.06,0.060000058
0.0601,0.060100059
0.0602,0.060200061
0.0603,0.060300063
0.0604,0.060400065
0.0605,0.060500066
0.0606,0.060600068
0.0607,0.06070007
0.0608,0.060800072
0.0609,0.060900074
0.061,0.061000076
0.0611,0.061100078
0.0612,0.06120008
0.0613,0.061300082
0.0614,0.061400084
0.0615,0.061500087
0.0616,0.061600089
0.0617,0.061700091
0.0618,0.061800094
0.0619,0.061900096
0.062,0.062000099
0.0621,0.062100102
0.0622,0.062200104
0.0623,0.062300107
0.0624,0.06240011
0.0625,0.062500113
0.0626,0.062600115
0.0627,0.062700118
0.0628,0.062800121
0.0629,0.062900125
0.063,0.063000128
0.0631,0.063100131
0.0632,0.063200134
0.0633,0.063300138
0.0634,0.063400141
0.0635,0.063500145
0.0636,0.063600148
0.0637,0.063700152
0.0638,0.063800156
0.0639,0.06390016
0.064,0.064000164
0.0641,0.064100168
0.0642,0.064200172
0.0643,0.064300176
0.0644,0.06440018
0.0645,0.064500185
0.0646,0.064600189
0.0647,0.064700194
0.0648,0.064800199
0.0649,0.064900203
0.065,0.065000208
0.0651,0.065100213
0.0652,0.065200218
0.0653,0.065300223
0.0654,0.065400229
0.0655,0.065500234
0.0656,0.06560024
0.0657,0.065700245
0.0658,0.065800251
0.0659,0.065900257
0.066,0.066000263
0.0661,0.066100269
0.0662,0.066200275
0.0663,0.066300282
0.0664,0.066400288
0.0665,0.066500295
0.0666,0.066600301
0.0667,0.066700308
0.0668,0.066800315
0.0669,0.066900322
0.067,0.06700033
0.0671,0.067100337
0.0672,0.067200345
0.0673,0.067300352
0.0674,0.06740036
0.0675,0.067500368
0.0676,0.067600376
0.0677,0.067700385
0.0678,0.067800393
0.0679,0.067900402
0.068,0.068000411
0.0681,0.06810042
0.0682,0.068200429
0.0683,0.068300438
0.0684,0.068400447
0.0685,0.068500457
0.0686,0.068600467
0.0687,0.068700477
0.0688,0.068800487
0.0689,0.068900497
0.069,0.069000508
0.0691,0.069100519
0.0692,0.06920053
0.0693,0.069300541
0.0694,0.069400552
0.0695,0.069500564
0.0696,0.069600576
0.0697,0.069700588
0.0698,0.0698006
0.0699,0.069900612
0.07,0.070000625
0.0701,0.070100638
0.0702,0.070200651
0.0703,0.070300664
0.0704,0.070400678
0.0705,0.070500692
0.0706,0.070600706
0.0707,0.07070072
0.0708,0.070800734
0.0709,0.070900749
0.071,0.071000764
0.0711,0.07110078
0.0712,0.071200795
0.0713,0.071300811
0.0714,0.071400827
0.0715,0.071500843
0.0716,0.07160086
0.0717,0.071700877
0.0718,0.071800894
0.0719,0.071900912
0.072,0.072000929
0.0721,0.072100947
0.0722,0.072200966
0.0723,0.072300985
0.0724,0.072401004
0.0725,0.072501023
0.0726,0.072601042
0.0727,0.072701062
0.0728,0.072801083
0.0729,0.072901103
0.073,0.073001124
0.0731,0.073101145
0.0732,0.073201167
0.0733,0.073301189
0.0734,0.073401211
0.0735,0.073501234
0.0736,0.073601257
0.0737,0.07370128
0.0738,0.073801304
0.0739,0.073901328
0.074,0.074001353
0.0741,0.074101378
0.0742,0.074201403
0.0743,0.074301429
0.0744,0.074401455
0.0745,0.074501481
0.0746,0.074601508
0.0747,0.074701536
0.0748,0.074801563
0.0749,0.074901591
0.075,0.07500162
0.0751,0.075101649
0.0752,0.075201679
0.0753,0.075301708
0.0754,0.075401739
0.0755,0.07550177
0.0756,0.075601801
0.0757,0.075701833
0.0758,0.075801865
0.0759,0.075901898
0.076,0.076001931
0.0761,0.076101965
0.0762,0.076201999
0.0763,0.076302033
0.0764,0.076402069
0.0765,0.076502104
0.0766,0.076602141
0.0767,0.076702177
0.0768,0.076802215
0.0769,0.076902252
0.077,0.077002291
0.0771,0.07710233
0.0772,0.077202369
0.0773,0.077302409
0.0774,0.07740245
0.0775,0.077502491
0.0776,0.077602533
0.0777,0.077702575
0.0778,0.077802618
0.0779,0.077902662
0.078,0.078002706
0.0781,0.078102751
0.0782,0.078202796
0.0783,0.078302842
0.0784,0.078402889
0.0785,0.078502936
0.0786,0.078602984
0.0787,0.078703033
0.0788,0.078803082
0.0789,0.078903132
0.079,0.079003183
0.0791,0.079103234
0.0792,0.079203286
0.0793,0.079303339
0.0794,0.079403393
0.0795,0.079503447
0.0796,0.079603502
0.0797,0.079703557
0.0798,0.079803614
0.0799,0.079903671
0.08,0.080003729
0.0801,0.080103788
0.0802,0.080203847
0.0803,0.080303907
0.0804,0.080403968
0.0805,0.08050403
0.0806,0.080604093
0.0807,0.080704156
0.0808,0.08080422
0.0809,0.080904285
0.081,0.081004351
0.0811,0.081104418
0.0812,0.081204486
0.0813,0.081304554
0.0814,0.081404624
0.0815,0.081504694
0.0816,0.081604765
0.0817,0.081704837
0.0818,0.08180491
0.0819,0.081904984
0.082,0.082005059
0.0821,0.082105135
0.0822,0.082205211
0.0823,0.082305289
0.0824,0.082405368
0.0825,0.082505447
0.0826,0.082605528
0.0827,0.082705609
0.0828,0.082805692
0.0829,0.082905776
0.083,0.08300586
0.0831,0.083105946
0.0832,0.083206032
0.0833,0.08330612
0.0834,0.083406209
0.0835,0.083506299
0.0836,0.08360639
0.0837,0.083706482
0.0838,0.083806575
0.0839,0.083906669
0.084,0.084006765
0.0841,0.084106861
0.0842,0.084206959
0.0843,0.084307058
0.0844,0.084407158
0.0845,0.084507259
0.0846,0.084607361
0.0847,0.084707465
0.0848,0.084807569
0.0849,0.084907675
0.085,0.085007783
0.0851,0.085107891
0.0852,0.085208001
0.0853,0.085308112
0.0854,0.085408224
0.0855,0.085508337
0.0856,0.085608452
0.0857,0.085708568
0.0858,0.085808686
0.0859,0.085908805
0.086,0.086008925
0.0861,0.086109046
0.0862,0.086209169
0.0863,0.086309293
0.0864,0.086409419
0.0865,0.086509546
0.0866,0.086609674
0.0867,0.086709804
0.0868,0.086809935
0.0869,0.086910068
0.087,0.087010202
0.0871,0.087110338
0.0872,0.087210475
0.0873,0.087310614
0.0874,0.087410754
0.0875,0.087510896
0.0876,0.087611039
0.0877,0.087711184
0.0878,0.08781133
0.0879,0.087911478
0.088,0.088011628
0.0881,0.088111779
0.0882,0.088211932
0.0883,0.088312086
0.0884,0.088412242
0.0885,0.0885124
0.0886,0.088612559
0.0887,0.08871272
0.0888,0.088812883
0.0889,0.088913047
0.089,0.089013213
0.0891,0.089113381
0.0892,0.089213551
0.0893,0.089313722
0.0894,0.089413896
0.0895,0.089514071
0.0896,0.089614248
0.0897,0.089714426
0.0898,0.089814607
0.0899,0.089914789
0.09,0.090014973
0.0901,0.090115159
0.0902,0.090215347
0.0903,0.090315537
0.0904,0.090415729
0.0905,0.090515923
0.0906,0.090616118
0.0907,0.090716316
0.0908,0.090816516
0.0909,0.090916717
0.091,0.091016921
0.0911,0.091117127
0.0912,0.091217335
0.0913,0.091317544
0.0914,0.091417756
0.0915,0.09151797
0.0916,0.091618186
0.0917,0.091718404
0.0918,0.091818625
0.0919,0.091918847
0.092,0.092019072
0.0921,0.092119299
0.0922,0.092219528
0.0923,0.092319759
0.0924,0.092419993
0.0925,0.092520228
0.0926,0.092620466
0.0927,0.092720707
0.0928,0.092820949
0.0929,0.092921194
0.093,0.093021441
0.0931,0.093121691
0.0932,0.093221943
0.0933,0.093322197
0.0934,0.093422454
0.0935,0.093522713
0.0936,0.093622975
0.0937,0.093723239
0.0938,0.093823505
0.0939,0.093923774
0.094,0.094024046
0.0941,0.09412432
0.0942,0.094224596
0.0943,0.094324875
0.0944,0.094425157
0.0945,0.094525441
0.0946,0.094625728
0.0947,0.094726018
0.0948,0.09482631
0.0949,0.094926605
0.095,0.095026902
0.0951,0.095127202
0.0952,0.095227505
0.0953,0.095327811
0.0954,0.095428119
0.0955,0.09552843
0.0956,0.095628744
0.0957,0.095729061
0.0958,0.09582938
0.0959,0.095929703
0.096,0.096030028
0.0961,0.096130356
0.0962,0.096230687
0.0963,0.096331021
0.0964,0.096431358
0.0965,0.096531698
0.0966,0.096632041
0.0967,0.096732387
0.0968,0.096832735
0.0969,0.096933087
0.097,0.097033442
0.0971,0.0971338
0.0972,0.097234161
0.0973,0.097334526
0.0974,0.097434893
0.0975,0.097535263
0.0976,0.097635637
0.0977,0.097736014
0.0978,0.097836394
0.0979,0.097936777
0.098,0.098037164
0.0981,0.098137554
0.0982,0.098237947
0.0983,0.098338343
0.0984,0.098438743
0.0985,0.098539146
0.0986,0.098639553
0.0987,0.098739962
0.0988,0.098840376
0.0989,0.098940792
0.099,0.099041213
0.0991,0.099141636
0.0992,0.099242063
0.0993,0.099342494
0.0994,0.099442928
0.0995,0.099543366
0.0996,0.099643808
0.0997,0.099744253
0.0998,0.099844701
0.0999,0.099945154
0.1,0.100045609
0.1001,0.100146069
0.1002,0.100246532
0.1003,0.100347
0.1004,0.10044747
0.1005,0.100547945
0.1006,0.100648423
0.1007,0.100748906
0.1008,0.100849392
0.1009,0.100949882
0.101,0.101050376
0.1011,0.101150873
0.1012,0.101251375
0.1013,0.101351881
0.1014,0.10145239
0.1015,0.101552904
0.1016,0.101653422
0.1017,0.101753943
0.1018,0.101854469
0.1019,0.101954999
0.102,0.102055533
0.1021,0.102156071
0.1022,0.102256614
0.1023,0.10235716
0.1024,0.102457711
0.1025,0.102558266
0.1026,0.102658825
0.1027,0.102759388
0.1028,0.102859956
0.1029,0.102960528
0.103,0.103061105
0.1031,0.103161686
0.1032,0.103262271
0.1033,0.103362861
0.1034,0.103463455
0.1035,0.103564053
0.1036,0.103664656
0.1037,0.103765264
0.1038,0.103865876
0.1039,0.103966493
0.104,0.104067114
0.1041,0.10416774
0.1042,0.104268371
0.1043,0.104369006
0.1044,0.104469646
0.1045,0.10457029
0.1046,0.10467094
0.1047,0.104771594
0.1048,0.104872253
0.1049,0.104972917
0.105,0.105073585
0.1051,0.105174259
0.1052,0.105274937
0.1053,0.10537562
0.1054,0.105476309
0.1055,0.105577002
0.1056,0.1056777
0.1057,0.105778403
0.1058,0.105879111
0.1059,0.105979825
0.106,0.106080543
0.1061,0.106181267
0.1062,0.106281995
0.1063,0.106382729
0.1064,0.106483468
0.1065,0.106584212
0.1066,0.106684962
0.1067,0.106785717
0.1068,0.106886477
0.1069,0.106987242
0.107,0.107088013
0.1071,0.107188789
0.1072,0.107289571
0.1073,0.107390358
0.1074,0.10749115
0.1075,0.107591948
0.1076,0.107692752
0.1077,0.107793561
0.1078,0.107894375
0.1079,0.107995196
0.108,0.108096022
0.1081,0.108196853
0.1082,0.10829769
0.1083,0.108398533
0.1084,0.108499382
0.1085,0.108600236
0.1086,0.108701096
0.1087,0.108801962
0.1088,0.108902834
0.1089,0.109003712
0.109,0.109104595
0.1091,0.109205485
0.1092,0.10930638
0.1093,0.109407282
0.1094,0.109508189
0.1095,0.109609103
0.1096,0.109710022
0.1097,0.109810948
0.1098,0.10991188
0.1099,0.110012818
0.11,0.110113762
0.1101,0.110214712
0.1102,0.110315669
0.1103,0.110416632
0.1104,0.110517601
0.1105,0.110618576
0.1106,0.110719558
0.1107,0.110820546
0.1108,0.110921541
0.1109,0.111022542
0.111,0.111123549
0.1111,0.111224563
0.1112,0.111325584
0.1113,0.111426611
0.1114,0.111527645
0.1115,0.111628685
0.1116,0.111729732
0.1117,0.111830786
0.1118,0.111931846
0.1119,0.112032913
0.112,0.112133987
0.1121,0.112235067
0.1122,0.112336155
0.1123,0.112437249
0.1124,0.11253835
0.1125,0.112639458
0.1126,0.112740573
0.1127,0.112841695
0.1128,0.112942824
0.1129,0.11304396
0.113,0.113145104
0.1131,0.113246254
0.1132,0.113347411
0.1133,0.113448575
0.1134,0.113549747
0.1135,0.113650926
0.1136,0.113752112
0.1137,0.113853305
0.1138,0.113954506
0.1139,0.114055714
0.114,0.114156929
0.1141,0.114258152
0.1142,0.114359382
0.1143,0.11446062
0.1144,0.114561865
0.1145,0.114663118
0.1146,0.114764378
0.1147,0.114865646
0.1148,0.114966921
0.1149,0.115068205
0.115,0.115169495
0.1151,0.115270794
0.1152,0.1153721
0.1153,0.115473414
0.1154,0.115574736
0.1155,0.115676065
0.1156,0.115777403
0.1157,0.115878748
0.1158,0.115980102
0.1159,0.116081463
0.116,0.116182832
0.1161,0.11628421
0.1162,0.116385595
0.1163,0.116486989
0.1164,0.11658839
0.1165,0.1166898
0.1166,0.116791218
0.1167,0.116892644
0.1168,0.116994079
0.1169,0.117095521
0.117,0.117196972
0.1171,0.117298432
0.1172,0.1173999
0.1173,0.117501376
0.1174,0.117602861
0.1175,0.117704354
0.1176,0.117805855
0.1177,0.117907366
0.1178,0.118008884
0.1179,0.118110412
0.118,0.118211948
0.1181,0.118313493
0.1182,0.118415046
0.1183,0.118516608
0.1184,0.118618179
0.1185,0.118719759
0.1186,0.118821348
0.1187,0.118922945
0.1188,0.119024552
0.1189,0.119126167
0.119,0.119227792
0.1191,0.119329425
0.1192,0.119431068
0.1193,0.119532719
0.1194,0.11963438
0.1195,0.11973605
0.1196,0.119837729
0.1197,0.119939417
0.1198,0.120041115
0.1199,0.120142821
0.12,0.120244538
0.1201,0.120346263
0.1202,0.120447998
0.1203,0.120549742
0.1204,0.120651496
0.1205,0.120753259
0.1206,0.120855032
0.1207,0.120956814
0.1208,0.121058606
0.1209,0.121160408
0.121,0.121262219
0.1211,0.12136404
0.1212,0.121465871
0.1213,0.121567711
0.1214,0.121669562
0.1215,0.121771422
0.1216,0.121873292
0.1217,0.121975172
0.1218,0.122077062
0.1219,0.122178962
0.122,0.122280872
0.1221,0.122382792
0.1222,0.122484722
0.1223,0.122586662
0.1224,0.122688612
0.1225,0.122790573
0.1226,0.122892543
0.1227,0.122994524
0.1228,0.123096516
0.1229,0.123198517
0.123,0.123300529
0.1231,0.123402552
0.1232,0.123504585
0.1233,0.123606628
0.1234,0.123708682
0.1235,0.123810747
0.1236,0.123912822
0.1237,0.124014907
0.1238,0.124117004
0.1239,0.124219111
0.124,0.124321229
0.1241,0.124423357
0.1242,0.124525497
0.1243,0.124627647
0.1244,0.124729808
0.1245,0.12483198
0.1246,0.124934163
0.1247,0.125036357
0.1248,0.125138562
0.1249,0.125240778
0.125,0.125343005
0.1251,0.125445244
0.1252,0.125547493
0.1253,0.125649754
0.1254,0.125752026
0.1255,0.125854309
0.1256,0.125956604
0.1257,0.12605891
0.1258,0.126161227
0.1259,0.126263556
0.126,0.126365896
0.1261,0.126468248
0.1262,0.126570611
0.1263,0.126672986
0.1264,0.126775372
0.1265,0.126877771
0.1266,0.12698018
0.1267,0.127082602
0.1268,0.127185035
0.1269,0.127287481
0.127,0.127389938
0.1271,0.127492407
0.1272,0.127594887
0.1273,0.12769738
0.1274,0.127799885
0.1275,0.127902402
0.1276,0.128004931
0.1277,0.128107472
0.1278,0.128210025
0.1279,0.128312591
0.128,0.128415168
0.1281,0.128517758
0.1282,0.12862036
0.1283,0.128722975
0.1284,0.128825602
0.1285,0.128928241
0.1286,0.129030893
0.1287,0.129133557
0.1288,0.129236234
0.1289,0.129338923
0.129,0.129441625
0.1291,0.12954434
0.1292,0.129647067
0.1293,0.129749808
0.1294,0.12985256
0.1295,0.129955326
0.1296,0.130058105
0.1297,0.130160896
0.1298,0.1302637
0.1299,0.130366518
0.13,0.130469348
0.1301,0.130572191
0.1302,0.130675048
0.1303,0.130777917
0.1304,0.1308808
0.1305,0.130983696
0.1306,0.131086605
0.1307,0.131189527
0.1308,0.131292463
0.1309,0.131395412
0.131,0.131498375
0.1311,0.131601351
0.1312,0.13170434
0.1313,0.131807343
0.1314,0.131910359
0.1315,0.132013389
0.1316,0.132116433
0.1317,0.13221949
0.1318,0.132322562
0.1319,0.132425646
0.132,0.132528745
0.1321,0.132631857
0.1322,0.132734984
0.1323,0.132838124
0.1324,0.132941278
0.1325,0.133044447
0.1326,0.133147629
0.1327,0.133250825
0.1328,0.133354035
0.1329,0.13345726
0.133,0.133560499
0.1331,0.133663752
0.1332,0.133767019
0.1333,0.133870301
0.1334,0.133973597
0.1335,0.134076907
0.1336,0.134180232
0.1337,0.134283571
0.1338,0.134386925
0.1339,0.134490293
0.134,0.134593676
0.1341,0.134697074
0.1342,0.134800486
0.1343,0.134903913
0.1344,0.135007355
0.1345,0.135110812
0.1346,0.135214283
0.1347,0.13531777
0.1348,0.135421271
0.1349,0.135524787
0.135,0.135628318
0.1351,0.135731865
0.1352,0.135835426
0.1353,0.135939003
0.1354,0.136042595
0.1355,0.136146202
0.1356,0.136249824
0.1357,0.136353461
0.1358,0.136457114
0.1359,0.136560782
0.136,0.136664466
0.1361,0.136768165
0.1362,0.13687188
0.1363,0.13697561
0.1364,0.137079356
0.1365,0.137183117
0.1366,0.137286895
0.1367,0.137390687
0.1368,0.137494496
0.1369,0.13759832
0.137,0.137702161
0.1371,0.137806017
0.1372,0.137909889
0.1373,0.138013777
0.1374,0.138117681
0.1375,0.138221601
0.1376,0.138325537
0.1377,0.13842949
0.1378,0.138533458
0.1379,0.138637443
0.138,0.138741444
0.1381,0.138845462
0.1382,0.138949495
0.1383,0.139053546
0.1384,0.139157612
0.1385,0.139261695
0.1386,0.139365795
0.1387,0.139469911
0.1388,0.139574044
0.1389,0.139678193
0.139,0.139782359
0.1391,0.139886542
0.1392,0.139990742
0.1393,0.140094958
0.1394,0.140199192
0.1395,0.140303442
0.1396,0.140407709
0.1397,0.140511993
0.1398,0.140616294
0.1399,0.140720613
0.14,0.140824948
0.1401,0.140929301
0.1402,0.141033671
0.1403,0.141138058
0.1404,0.141242462
0.1405,0.141346884
0.1406,0.141451323
0.1407,0.14155578
0.1408,0.141660254
0.1409,0.141764745
0.141,0.141869254
0.1411,0.141973781
0.1412,0.142078326
0.1413,0.142182888
0.1414,0.142287467
0.1415,0.142392065
0.1416,0.14249668
0.1417,0.142601314
0.1418,0.142705965
0.1419,0.142810634
0.142,0.142915321
0.1421,0.143020026
0.1422,0.14312475
0.1423,0.143229491
0.1424,0.143334251
0.1425,0.143439029
0.1426,0.143543825
0.1427,0.143648639
0.1428,0.143753472
0.1429,0.143858323
0.143,0.143963193
0.1431,0.144068081
0.1432,0.144172987
0.1433,0.144277912
0.1434,0.144382856
0.1435,0.144487819
0.1436,0.1445928
0.1437,0.1446978
0.1438,0.144802819
0.1439,0.144907856
0.144,0.145012913
0.1441,0.145117988
0.1442,0.145223083
0.1443,0.145328196
0.1444,0.145433328
0.1445,0.14553848
0.1446,0.145643651
0.1447,0.145748841
0.1448,0.14585405
0.1449,0.145959279
0.145,0.146064526
0.1451,0.146169794
0.1452,0.14627508
0.1453,0.146380386
0.1454,0.146485712
0.1455,0.146591057
0.1456,0.146696422
0.1457,0.146801807
0.1458,0.146907211
0.1459,0.147012635
0.146,0.147118078
0.1461,0.147223542
0.1462,0.147329026
0.1463,0.147434529
0.1464,0.147540052
0.1465,0.147645596
0.1466,0.147751159
0.1467,0.147856743
0.1468,0.147962346
0.1469,0.14806797
0.147,0.148173615
0.1471,0.148279279
0.1472,0.148384964
0.1473,0.148490669
0.1474,0.148596395
0.1475,0.148702141
0.1476,0.148807907
0.1477,0.148913695
0.1478,0.149019502
0.1479,0.149125331
0.148,0.14923118
0.1481,0.14933705
0.1482,0.149442941
0.1483,0.149548853
0.1484,0.149654785
0.1485,0.149760739
0.1486,0.149866713
0.1487,0.149972709
0.1488,0.150078725
0.1489,0.150184763
0.149,0.150290822
0.1491,0.150396902
0.1492,0.150503003
0.1493,0.150609126
0.1494,0.15071527
0.1495,0.150821435
0.1496,0.150927622
0.1497,0.151033831
0.1498,0.151140061
0.1499,0.151246312
0.15,0.151352586
0.1501,0.15145888
